token,community,best_cluster_match_fraction
众所周知,53,1.0
优,422,1.0
优先,423,1.0
优势,424,0.5
优化,425,1.0
优异,426,1.0
优惠,427,1.0
优点,424,0.5
优秀,44,0.25
优美,243,1.0
优良,426,1.0
优质,44,0.25
优越,426,0.75
优雅,243,1.0
伙,428,1.0
伙伴,429,0.75
伙食,430,1.0
会,143,0.0
会员,431,1.0
会场,280,1.0
会意,10,0.75
会晤,336,1.0
会见,432,1.0
会计,326,1.0
会议,280,1.0
会诊,223,0.75
会谈,336,1.0
会长,256,1.0
会面,346,0.0
伞,433,0.25
伟大,434,1.0
传,173,0.75
传人,188,1.0
传出,173,1.0
传奇,435,1.0
传媒,436,1.0
传承,188,1.0
传授,437,0.75
传播,438,1.0
传来,60,1.0
传染,439,0.25
传染病,223,0.5
传真,278,0.25
传统,440,1.0
传言,173,1.0
传记,181,0.25
传说,435,1.0
传输,441,1.0
传达,438,0.25
传递,442,1.0
传闻,173,1.0
伤,148,0.5
伤亡,148,1.0
伤势,148,0.5
伤口,208,1.0
伤员,443,0.25
伤害,444,1.0
伤心,128,1.0
伤感,128,1.0
伤残,445,0.5
伤痕,446,0.25
伤脑筋,447,0.5
伦理,375,0.0
伪装,448,0.5
伪造,85,0.25
伯伯,26,1.0
伯母,26,1.0
伯父,26,1.0
估算,449,1.0
估计,449,1.0
伴,450,1.0
伴侣,429,0.25
伴奏,185,1.0
伴随,451,0.25
伸,208,1.0
伸张,452,0.5
伸手,10,0.75
伸缩,112,0.5
伺候,453,1.0
伺机,454,0.25
似乎,120,0.75
似是而非,455,1.0
似曾相识,286,0.5
似的,456,0.5
但,132,1.0
但愿,132,1.0
但是,132,1.0
位,457,0.25
位于,332,0.25
位子,458,1.0
位置,459,0.5
低,460,0.5
低下,164,0.25
低于,125,1.0
低价,413,1.0
低估,461,1.0
低头,10,1.0
低温,118,1.0
低碳,462,1.0
低调,463,0.75
低谷,464,0.25
低迷,76,0.75
住,465,1.0
住址,465,0.0
住处,465,1.0
住宅,249,1.0
住宿,420,0.5
住户,249,0.75
住房,249,1.0
住院,223,1.0
佐料,69,1.0
体会,299,0.25
体制,466,0.75
体力,467,0.75
体操,281,1.0
体检,468,1.0
体温,372,0.75
体现,94,0.75
体积,469,0.5
体系,466,1.0
体育,281,0.25
体育场,470,1.0
体育馆,470,1.0
体能,467,0.75
体谅,366,0.5
体质,467,0.5
体贴,189,1.0
体重,219,0.75
体面,471,0.5
体验,299,0.25
何况,132,1.0
何处,159,1.0
何必,133,1.0
何时,159,1.0
何苦,133,1.0
余,64,1.0
余地,472,0.75
余额,473,0.0
佛,474,1.0
佛教,474,0.75
作,124,0.75
作业,323,0.75
作为,251,1.0
作出,124,1.0
作品,88,1.0
作客,475,1.0
作家,381,0.5
作对,321,1.0
作废,476,0.5
作弊,477,0.75
作战,478,0.5
作文,479,1.0
作物,480,0.75
作用,481,0.5
作者,482,1.0
作风,157,0.25
你,26,1.0
你们,131,1.0
佩服,128,0.75
佳节,237,1.0
使,407,0.75
使劲,208,0.75
使命,287,1.0
使唤,158,0.0
使得,407,0.75
使用,483,1.0
使者,484,1.0
侃大山,114,0.25
例外,220,1.0
例如,53,0.5
例子,220,0.75
侍候,453,1.0
供,485,1.0
供不应求,486,1.0
供奉,474,0.75
供应,486,1.0
供暖,487,0.5
供求,486,1.0
供给,486,1.0
依,488,1.0
依依不舍,128,1.0
依托,408,1.0
依据,488,1.0
依旧,120,1.0
依次,489,1.0
依法,211,0.75
依然,120,1.0
依照,488,1.0
依赖,408,1.0
依靠,408,1.0
侠义,490,1.0
侦察,478,0.75
侧,93,0.75
