run,earliest_hsk_level,words,singletons,words_in_size_3_to_30
raw-t0.725-r0.2-run05,6,1121,50,890
raw-t0.725-r0.2-run05,2,744,23,590
raw-t0.725-r0.2-run05,4,969,36,774
raw-t0.725-r0.2-run05,3,951,41,772
raw-t0.75-r0.05-run01,1,503,28,293
raw-t0.75-r0.05-run01,7-9,5592,424,4019
raw-t0.75-r0.05-run01,5,1056,64,786
raw-t0.75-r0.05-run01,6,1121,81,824
raw-t0.75-r0.05-run01,2,744,32,531
raw-t0.75-r0.05-run01,4,969,60,716
raw-t0.75-r0.05-run01,3,951,61,713
raw-t0.75-r0.1-run01,1,503,28,358
raw-t0.75-r0.1-run01,7-9,5592,504,4325
raw-t0.75-r0.1-run01,5,1056,69,851
raw-t0.75-r0.1-run01,6,1121,84,907
raw-t0.75-r0.1-run01,2,744,40,603
raw-t0.75-r0.1-run01,4,969,72,778
raw-t0.75-r0.1-run01,3,951,73,759
raw-t0.75-r0.2-run01,1,503,37,373
raw-t0.75-r0.2-run01,7-9,5592,644,4095
raw-t0.75-r0.2-run01,5,1056,89,815
raw-t0.75-r0.2-run01,6,1121,105,866
raw-t0.75-r0.2-run01,2,744,45,598
raw-t0.75-r0.2-run01,4,969,97,722
raw-t0.75-r0.2-run01,3,951,95,695
