token,community,best_cluster_match_fraction
做法,536,0.25
做生意,537,1.0
做饭,101,0.0
停,243,0.5
停下,96,0.5
停业,538,0.0
停放,539,0.75
停止,243,1.0
停泊,540,0.5
停电,488,0.0
停留,541,0.25
停车,330,0.25
停车位,387,0.25
停车场,387,0.25
停顿,243,1.0
健全,30,0.75
健壮,225,1.0
健康,505,1.0
健美,289,1.0
健身,289,1.0
偶像,542,1.0
偶尔,24,1.0
偶然,543,0.5
偷,544,0.5
偷偷,457,0.25
偷懒,545,1.0
偷看,53,0.75
偷窥,544,0.5
偿还,472,1.0
傍晚,23,1.0
储备,546,0.5
储存,397,1.0
储蓄,512,0.5
催,547,0.0
催促,307,1.0
催眠,548,1.0
傲,501,1.0
傲慢,186,0.25
傻,185,1.0
傻瓜,549,1.0
像,421,1.0
像样,550,1.0
僧人,400,0.5
僵,15,0.0
僵化,533,0.0
僵局,551,0.75
僻静,531,0.75
儒学,265,1.0
儒家,265,1.0
儿女,27,1.0
儿子,27,1.0
儿科,230,1.0
儿童,237,0.75
允许,31,1.0
元,358,1.0
元宵节,245,1.0
元旦,245,1.0
元素,356,0.5
元老,552,1.0
元首,85,1.0
兄弟,27,1.0
充,553,1.0
充分,554,0.25
充实,555,1.0
充当,556,1.0
充沛,557,0.25
充满,558,0.75
充电,351,0.0
充电器,559,1.0
充足,554,0.25
兆头,560,1.0
先,148,0.75
先例,281,1.0
先前,81,0.0
先后,12,0.5
先天,433,0.25
先生,561,0.75
先进,48,1.0
先锋,328,1.0
光,562,1.0
光临,563,0.25
光彩,362,1.0
光明,212,0.75
光明磊落,366,1.0
光泽,564,0.75
光滑,564,0.75
光环,362,0.5
光盘,559,0.0
光碟,559,0.0
光线,562,1.0
光缆,351,1.0
光芒,362,1.0
光荣,232,0.0
光辉,362,1.0
光顾,563,0.25
克,358,1.0
克制,565,0.0
克服,566,1.0
克隆,567,1.0
免,568,1.0
免不了,141,0.5
免得,137,1.0
免疫,244,1.0
免职,82,1.0
免费,432,0.0
免除,566,0.5
兑换,384,1.0
兑现,569,1.0
兔,401,1.0
党,570,0.25
兜,571,0.75
兜儿,572,0.0
兜售,558,0.5
兢兢业业,33,0.5
入,573,1.0
入侵,496,0.75
入口,574,1.0
入场,87,1.0
入场券,203,1.0
入境,575,1.0
入学,88,1.0
入手,120,0.25
入选,576,0.0
入门,247,0.75
全,2,0.5
全世界,202,1.0
全体,577,1.0
全力,33,1.0
全力以赴,33,1.0
全国,202,1.0
全场,87,0.75
全家,27,1.0
全局,578,1.0
全年,579,0.0
全心全意,33,0.75
全文,580,1.0
全新,581,1.0
全方位,582,1.0
全球,202,1.0
全程,582,1.0
全能,75,1.0
全身,217,1.0
全部,2,0.5
全都,2,0.5
全长,262,0.75
全面,2,0.0
八,68,1.0
八卦,583,1.0
公,584,1.0
公主,585,1.0
公事,213,1.0
公交车,330,0.25
公仆,586,1.0
公众,383,0.75
公元,587,1.0
公共,197,0.25
公共场所,588,1.0
公共汽车,108,1.0
公关,589,0.5
公函,445,1.0
公务,352,0.75
公务员,374,0.75
公司,209,1.0
公告,590,1.0
公园,487,0.0
公墓,591,1.0
公安,350,1.0
公安局,350,1.0
公寓,257,1.0
公布,590,0.75
公平,246,1.0
公开,590,0.75
公开信,445,1.0
公式,592,0.5
公斤,358,1.0
公款,593,1.0
公正,246,1.0
公民,383,0.75
公然,260,0.5
公用,197,1.0
公益,294,1.0
公益性,594,1.0
公示,590,0.25
公积金,512,0.75
公立,594,0.25
公约,595,0.75
公职,82,1.0
公认,284,1.0
公证,596,0.0
公费,597,0.25
公路,387,1.0
公车,330,1.0
公道,246,1.0
公里,358,1.0
公顷,358,1.0
公鸡,401,1.0
六,68,1.0
共,12,1.0
共享,359,1.0
共同,338,0.25
共同体,338,0.75
共性,598,0.75
共有,12,1.0
共计,12,1.0
共识,336,0.5
共鸣,599,0.5
关,600,0.75
关上,600,1.0
关于,601,0.75
关头,602,1.0
关心,456,0.75
关怀,456,0.75
关掉,600,1.0
关机,287,0.25
关注,196,0.5
关照,456,0.75
关爱,456,0.75
关税,438,0.75
关系,603,1.0
关联,603,1.0
关节,217,0.75
关键,279,1.0
关闭,243,1.0
兴奋,149,1.0
兴奋剂,604,0.0
兴建,516,0.75
兴旺,605,1.0
兴致,606,0.25
兴起,607,0.0
兴趣,226,0.75
兴高采烈,134,1.0
兵,608,1.0
其,609,1.0
其中,39,1.0
其他,410,1.0
其余,8,1.0
其后,130,1.0
其实,128,1.0
